date,close
11-05-2016,92.51
12-05-2016,90.34
13-05-2016,90.52
16-05-2016,93.88
17-05-2016,93.49
18-05-2016,94.56
19-05-2016,94.2
20-05-2016,95.22
23-05-2016,96.43
24-05-2016,97.9
25-05-2016,99.62
26-05-2016,100.41
27-05-2016,100.35
31-05-2016,99.86
01-06-2016,98.46
02-06-2016,97.72
03-06-2016,97.92
06-06-2016,98.63
07-06-2016,99.03
08-06-2016,98.94
09-06-2016,99.65
10-06-2016,98.83
13-06-2016,97.34
14-06-2016,97.46
15-06-2016,97.14
16-06-2016,97.55
17-06-2016,95.33
20-06-2016,95.1
21-06-2016,95.91
22-06-2016,95.55
23-06-2016,96.1
24-06-2016,93.4
27-06-2016,92.04
28-06-2016,93.59
29-06-2016,94.4
30-06-2016,95.6
01-07-2016,95.89
05-07-2016,94.99
06-07-2016,95.53
07-07-2016,95.94
08-07-2016,96.68
11-07-2016,96.98
12-07-2016,97.42
13-07-2016,96.87
14-07-2016,98.79
15-07-2016,98.78
18-07-2016,99.83
19-07-2016,99.87
20-07-2016,99.96
21-07-2016,99.43
22-07-2016,98.66
25-07-2016,97.34
26-07-2016,96.67
27-07-2016,102.95
28-07-2016,104.34
29-07-2016,104.21
01-08-2016,106.05
02-08-2016,104.48
03-08-2016,105.79
04-08-2016,105.87
05-08-2016,107.48
08-08-2016,108.37
09-08-2016,108.81
10-08-2016,108
11-08-2016,107.93
12-08-2016,108.18
15-08-2016,109.48
16-08-2016,109.38
17-08-2016,109.22
18-08-2016,109.08
19-08-2016,109.36
22-08-2016,108.51
23-08-2016,108.85
24-08-2016,108.03
25-08-2016,107.57
26-08-2016,106.94
29-08-2016,106.82
30-08-2016,106
31-08-2016,106.1
01-09-2016,106.73
02-09-2016,107.73
06-09-2016,107.7
07-09-2016,108.36
08-09-2016,105.52
09-09-2016,103.13
12-09-2016,105.44
13-09-2016,107.95
14-09-2016,111.77
15-09-2016,115.57
16-09-2016,114.92
19-09-2016,113.58
20-09-2016,113.57
21-09-2016,113.55
22-09-2016,114.62
23-09-2016,112.71
26-09-2016,112.88
27-09-2016,113.09
28-09-2016,113.95
29-09-2016,112.18
30-09-2016,113.05
03-10-2016,112.52
04-10-2016,113
05-10-2016,113.05
06-10-2016,113.89
07-10-2016,114.06
10-10-2016,116.05
11-10-2016,116.3
12-10-2016,117.34
13-10-2016,116.98
14-10-2016,117.63
17-10-2016,117.55
18-10-2016,117.47
19-10-2016,117.12
20-10-2016,117.06
21-10-2016,116.6
24-10-2016,117.65
25-10-2016,118.25
26-10-2016,115.59
27-10-2016,114.48
28-10-2016,113.72
31-10-2016,113.54
01-11-2016,111.49
02-11-2016,111.59
03-11-2016,109.83
04-11-2016,108.84
07-11-2016,110.41
08-11-2016,111.06
09-11-2016,110.88
10-11-2016,107.79
11-11-2016,108.43
14-11-2016,105.71
15-11-2016,107.11
16-11-2016,109.99
17-11-2016,109.95
18-11-2016,110.06
21-11-2016,111.73
22-11-2016,111.8
23-11-2016,111.23
25-11-2016,111.79
28-11-2016,111.57
29-11-2016,111.46
30-11-2016,110.52
01-12-2016,109.49
02-12-2016,109.9
05-12-2016,109.11
06-12-2016,109.95
07-12-2016,111.03
08-12-2016,112.12
09-12-2016,113.95
12-12-2016,113.3
13-12-2016,115.19
14-12-2016,115.19
15-12-2016,115.82
16-12-2016,115.97
19-12-2016,116.64
20-12-2016,116.95
21-12-2016,117.06
22-12-2016,116.29
23-12-2016,116.52
27-12-2016,117.26
28-12-2016,116.76
29-12-2016,116.73
30-12-2016,115.82
03-01-2017,116.15
04-01-2017,116.02
